Address,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,SEX OFFENSES FORCIBLE,SEX OFFENSES NON FORCIBLE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS
1200 Block of MINNESOTA ST,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,2,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0
400 Block of RAYMOND AV,2,123,0,0,12,3,0,7,0,0,0,0,1,2,0,3,37,0,1,14,27,176,0,1,1,5,1,15,10,1,1,0,33,0,12,26,14,1,26
KITTREDGE TR / TURK ST,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600 Block of 4TH AV,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,4,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
POTRERO AV / 16TH ST,0,11,0,0,0,1,2,4,1,0,0,0,1,4,0,0,26,0,0,3,13,49,0,1,0,3,0,0,1,0,1,0,0,0,0,3,9,5,1
1600 Block of THE EMBARCADERONORTH ST,0,43,0,0,20,1,0,3,3,6,0,0,23,36,0,4,432,1,0,19,325,41,0,0,1,10,1,6,4,0,4,0,19,0,16,18,4,14,2
6TH ST / JESSIE ST,0,32,0,0,1,1,0,118,16,0,0,0,1,6,0,1,19,12,0,2,23,111,0,0,0,15,0,1,0,0,1,0,14,0,0,2,2,85,4
400 Block of NATOMA ST,0,14,0,0,3,0,0,29,3,0,0,0,3,4,0,0,47,0,0,2,11,34,0,0,1,4,0,2,1,0,1,0,8,0,1,17,5,12,3
300 Block of SCHWERIN ST,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,2,1,0,2
1900 Block of GRANT AV,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
1400 Block of LAKE ST,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0
0 Block of UNIVERSITY ST,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0
300 Block of ELCAMINODELMAR ST,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0 Block of LUNADO WY,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
22ND AV / FULTON ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
JACKSON ST / STOCKTON ST,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,14,0,0,1,18,5,0,0,0,2,0,0,0,0,0,0,0,0,0,2,6,0,0
GENEVA AV / NAPLES ST,0,11,0,0,0,0,1,6,0,0,0,0,1,1,0,1,10,1,0,0,4,39,0,0,0,3,0,0,0,0,0,0,5,0,0,1,3,4,1
2800 Block of BAKER ST,0,3,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0
300 Block of LAGRANDE AV,2,31,0,0,8,0,0,2,0,0,0,0,0,0,0,2,18,0,0,12,6,11,0,0,1,3,3,3,2,0,0,0,12,0,2,3,2,0,0
2000 Block of UNION ST,0,14,0,0,35,0,0,0,0,3,0,0,6,13,0,0,107,0,0,2,11,11,0,0,1,1,0,2,0,0,4,0,9,0,0,7,3,2,1
0 Block of MONTICELLO ST,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600 Block of POLK ST,1,14,0,0,13,1,0,6,0,0,0,0,1,4,0,1,57,0,0,3,25,14,0,0,0,4,0,2,1,0,0,1,4,0,1,16,2,6,4
1200 Block of ARGUELLO BL,0,3,0,0,2,0,0,0,0,0,0,0,1,5,0,0,10,0,0,4,4,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,1,1
2100 Block of 24TH AV,2,83,0,0,19,1,0,41,0,0,0,0,1,1,0,3,39,2,2,23,28,33,0,1,0,4,0,82,11,0,1,1,24,0,9,24,3,0,32
400 Block of TURK ST,0,180,1,0,37,5,0,85,4,0,1,0,7,7,0,5,54,1,0,12,139,75,0,0,2,15,0,20,8,0,1,1,58,0,16,27,6,50,4
1200 Block of CLAY ST,0,7,0,0,10,0,0,0,0,0,0,0,1,2,0,1,11,0,0,1,3,7,0,0,0,1,0,0,0,0,1,0,2,0,1,4,2,1,0
1700 Block of 46TH AV,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,1,4,0,0,0,0,3,0,0,0,0,0,2,0,0,1,1,2,0,0,4,10,1,0
SAN BRUNO AV / SILVER AV,0,22,1,0,0,0,1,9,0,0,0,0,0,6,0,0,16,0,0,1,35,48,0,0,0,13,0,3,1,0,0,0,9,0,0,3,9,7,0
OCEAN AV / SANLEANDRO WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200 Block of FRANKLIN ST,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0
1500 Block of CABRILLO ST,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0
MARKET ST / VANNESS AV,0,22,0,0,0,0,1,7,1,0,0,0,7,24,0,2,70,0,0,4,48,43,0,0,1,20,0,4,3,0,1,0,8,0,0,2,1,6,0
2000 Block of 19TH AV,0,2,0,0,5,0,0,1,0,1,0,0,1,1,0,0,3,0,0,2,8,5,0,0,0,2,0,0,0,0,0,0,3,0,0,5,0,1,1
1300 Block of GOLDEN GATE AV,1,22,0,0,10,0,0,2,0,0,0,0,1,5,0,0,17,0,0,11,23,16,0,0,0,2,0,8,0,0,0,0,0,0,0,4,3,3,0
LAKE MERCED BL / FONT BL,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,5,13,0,0
2300 Block of BUSH ST,0,2,0,0,2,0,0,3,0,0,0,0,2,5,0,0,23,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,6,0,2,4,6,4,0
2900 Block of LYON ST,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0
300 Block of TREAT AV,0,7,0,0,7,3,1,1,0,0,0,0,2,0,0,1,9,0,0,0,4,6,0,3,0,0,0,0,0,0,0,0,1,0,2,2,1,5,0
0 Block of MONTGOMERY ST,1,17,0,0,9,1,0,1,0,1,0,0,14,8,0,0,80,0,0,2,18,19,0,0,0,12,0,1,3,0,1,0,6,0,4,4,3,3,0
1800 Block of PIERCE ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2600 Block of TAYLOR ST,0,6,0,0,5,1,0,0,0,1,0,0,0,0,0,0,10,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1
500 Block of 20TH AV,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0,0,2,8,2,0,0,0,2,0,0,1,0,0,1,1,0,0,2,3,0,0
700 Block of BRANNAN ST,0,10,0,0,4,0,0,2,1,0,0,0,8,5,0,0,20,0,0,2,13,24,0,0,0,0,0,0,0,0,0,0,10,0,1,5,10,19,1
400 Block of VALLEY ST,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,4,0,1
LARKIN ST / GOLDEN GATE AV,0,8,0,0,0,0,0,28,1,0,0,0,2,1,0,0,28,0,0,0,14,24,0,1,1,5,0,0,1,0,0,0,4,0,0,2,2,7,1
700 Block of 23RD AV,1,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,4,0,0,3,1,0,0
1900 Block of LOMBARD ST,0,16,0,0,15,0,0,1,0,0,1,0,2,3,0,1,53,0,0,2,7,9,0,4,2,3,0,1,0,0,1,0,2,0,0,10,7,1,4
900 Block of GREENWICH ST,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
100 Block of VERMONT ST,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,5,3,0,0
1000 Block of GREEN ST,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,11,0,0,1,5,4,0,0,0,1,0,0,0,0,0,0,1,0,1,4,9,0,0
0 Block of IRVING ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1200 Block of VALENCIA ST,0,4,0,0,4,3,0,4,4,0,0,0,0,1,0,1,29,2,0,0,6,12,0,2,0,0,0,0,0,0,1,0,4,0,0,9,8,9,1
TOWNSEND ST / 7TH ST,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,11,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0
20TH AV / LAKE ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2100 Block of FILLMORE ST,0,9,0,0,15,0,0,0,0,1,0,0,12,5,0,1,46,0,0,0,8,11,0,0,0,5,0,0,0,0,6,0,5,0,1,8,2,2,0
4500 Block of 18TH ST,0,3,0,0,4,0,0,4,1,0,0,0,2,1,0,0,4,0,0,1,4,7,0,0,0,0,0,0,1,0,1,0,1,0,0,4,4,0,0
MISSION ST / 30TH ST,0,29,0,0,0,2,2,9,3,0,0,1,1,5,0,0,19,2,0,1,33,66,0,0,0,23,0,1,2,0,1,0,2,0,0,8,3,17,4
6000 Block of GEARY BL,0,1,0,0,4,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,4,2,0,0,0,1,0,1,0,0,0,0,0,0,0,5,1,0,1
100 Block of DUNCAN ST,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,2,1,0
14TH ST / HARRISON ST,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,19,0,0,0,3,8,0,0,0,1,0,0,0,0,0,0,2,0,0,1,7,6,0
100 Block of KNOCKASHHILL ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300 Block of NORIEGA ST,0,7,0,0,5,0,0,0,0,0,0,0,3,2,0,0,6,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,0,1
0 Block of OCTAVIA ST,0,3,0,0,7,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,4,3,0,0,0,4,0,1,0,0,0,0,0,0,0,4,5,1,3
900 Block of RHODEISLAND ST,0,2,0,0,6,0,1,1,0,0,0,0,0,0,0,0,9,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,0,0
26TH ST / RHODEISLAND ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
0 Block of SYCAMORE ST,2,18,0,2,5,1,0,21,1,0,0,0,1,2,0,0,15,1,0,7,10,15,0,0,1,4,1,5,0,0,2,1,2,0,0,7,5,8,3
2300 Block of 3RD ST,0,0,0,0,4,0,1,2,0,1,0,0,0,0,0,0,16,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,2,0
200 Block of DELLBROOK AV,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0 Block of NAVAJO AV,0,4,0,0,1,0,1,1,0,0,0,0,1,1,0,0,9,0,0,0,10,2,0,0,1,0,0,1,0,0,0,0,0,0,0,3,4,0,1
3RD ST / 22ND ST,0,6,0,0,1,1,0,2,0,0,0,0,0,0,0,1,24,0,0,0,5,12,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,1
GENEVA AV / ALEMANY BL,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
18TH ST / CAPP ST,0,8,0,0,0,5,0,7,0,0,0,0,0,0,0,1,7,0,1,1,12,29,0,25,0,5,0,1,0,0,0,0,3,0,0,2,6,8,0
0 Block of TUCKER AV,0,6,0,0,2,0,0,5,0,0,0,0,1,1,0,1,8,0,0,4,3,10,0,0,0,1,0,2,0,0,0,0,4,0,1,6,7,2,2
100 Block of UPPER TR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0
900 Block of ELLIS ST,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,2,11,0,0,0,2,0,0,0,0,1,0,2,0,0,1,7,1,0
11TH ST / MARKET ST,0,7,0,0,0,1,0,0,1,0,0,0,0,4,0,0,11,1,0,1,8,16,0,0,0,4,0,0,0,0,0,0,2,0,0,5,1,6,0
17TH AV / GEARY BL,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0
1500 Block of POLK ST,0,33,0,0,11,3,0,6,0,0,0,0,20,9,0,0,45,3,2,0,42,20,0,6,0,8,0,2,2,0,0,0,12,0,3,10,2,17,2
OAKDALE AV / RANKIN ST,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,3,0,0,0,3,62,0,0,0,0,0,1,0,0,0,0,2,0,0,1,2,7,2
1800 Block of CALIFORNIA ST,0,7,0,0,12,0,0,1,0,0,0,0,1,0,0,0,19,0,0,0,10,12,0,0,1,0,0,1,0,0,0,0,0,0,0,4,5,7,0
GEARY BL / BUCHANAN ST,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,32,0,0,0,6,6,0,0,0,1,0,0,0,0,3,0,1,0,0,2,2,2,0
3RD AV / CALIFORNIA ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
GOETTINGEN ST / CAMPBELL AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GREENWICH ST / OCTAVIA ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
0 Block of EXCELSIOR AV,0,4,0,0,1,0,0,1,0,0,0,0,1,2,0,0,1,0,0,1,3,8,0,0,0,2,0,2,0,0,1,0,0,0,0,2,0,8,2
1300 Block of WASHINGTON ST,0,1,0,0,9,0,0,3,0,0,0,0,0,2,0,0,7,0,0,0,7,4,0,2,0,0,0,0,0,0,0,0,1,0,1,3,3,2,0
700 Block of UNION ST,0,3,0,0,3,0,0,0,0,0,0,0,1,2,0,0,7,0,0,3,6,2,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0,0
0 Block of CALGARY ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,0,0
1500 Block of VALLEJO ST,0,5,0,0,7,0,0,0,0,0,0,0,0,2,0,0,8,0,0,2,2,3,0,0,0,1,0,1,0,0,1,0,0,0,0,7,4,1,0
100 Block of ULLOA ST,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
300 Block of HARRISON ST,0,6,0,0,1,0,0,2,0,0,0,0,0,1,0,0,16,0,0,2,8,2,0,0,0,0,0,0,0,0,0,0,6,0,1,1,2,1,0
100 Block of MADRID ST,0,13,0,0,1,0,0,6,0,0,0,0,2,1,0,0,4,0,0,2,5,11,0,0,0,2,0,4,0,0,0,0,0,0,1,3,13,1,0
NORTHPOINT ST / GRANT AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1
HYDE ST / PINE ST,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,3,3,0,7,0,4,0,0,0,0,0,0,0,0,0,4,4,4,0
OAKDALE AV / 3RD ST,1,6,0,0,0,0,0,2,1,0,0,0,0,0,2,0,7,1,0,0,7,33,0,0,0,3,0,1,0,0,0,0,5,0,0,6,1,9,0
200 Block of TOWNSEND ST,0,4,0,0,18,0,0,0,0,1,0,0,1,3,0,0,64,0,0,1,5,11,0,0,0,2,0,2,2,0,2,0,8,0,0,10,2,2,0
1300 Block of BATTERY ST,0,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1
MISSION ST / 23RD ST,0,21,0,0,0,1,3,5,0,0,0,0,2,6,0,0,18,0,2,0,29,72,0,0,0,5,0,0,1,0,1,0,6,0,0,4,4,9,2
COLUMBUS AV / MASON ST,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,10,2,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0
3000 Block of SAN BRUNO AV,0,17,1,1,5,1,0,5,0,0,0,0,26,5,0,2,9,0,0,5,9,12,0,0,0,4,0,2,3,0,3,0,6,0,0,13,7,11,3
0 Block of BLUXOME ST,0,7,0,0,9,0,0,2,0,0,0,0,0,2,0,0,47,0,0,1,5,5,0,0,1,1,0,0,0,0,0,0,2,0,2,7,13,4,0
1300 Block of 9TH AV,0,13,0,0,8,1,0,2,2,1,0,0,3,3,0,0,24,0,0,2,9,10,0,0,0,2,0,0,0,0,0,0,6,0,0,15,6,11,0
VALLEJO ST / GRANT AV,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0,0,6,12,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,0,1
SUTTER ST / LAGUNA ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0
2500 Block of 3RD ST,0,4,0,1,7,0,0,1,0,0,0,0,1,1,0,0,30,0,0,2,9,7,0,0,0,2,0,1,2,0,1,0,5,0,0,8,0,0,0
45TH AV / LINCOLN WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0
VALLEJO ST / VANNESS AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1500 Block of POST ST,0,7,0,0,7,0,0,2,0,1,0,0,3,2,0,0,14,0,0,0,8,8,0,0,0,2,0,1,0,0,1,0,1,0,0,7,7,2,2
2300 Block of FULTON ST,0,3,0,0,4,0,0,1,1,0,0,0,2,1,0,0,11,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,3,1
0 Block of GARDENSIDE DR,0,3,1,0,3,0,0,0,0,0,0,0,1,2,0,0,13,0,0,0,10,7,0,0,0,0,0,1,0,0,0,0,1,0,0,1,16,0,0
0 Block of NORTHRIDGE RD,6,102,0,1,37,0,0,8,1,1,0,1,0,0,0,6,18,0,1,28,33,65,0,0,3,7,1,25,2,0,1,0,27,0,11,60,17,23,20
1300 Block of 41ST AV,0,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0
600 Block of CALIFORNIA ST,2,12,0,0,11,1,0,7,0,1,0,0,4,2,0,1,53,0,0,1,14,14,0,0,1,3,0,1,1,0,4,0,6,0,4,7,7,9,1
100 Block of BEULAH ST,0,2,0,0,5,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,5,1,0
0 Block of ROSE ST,0,12,0,0,2,0,0,0,0,0,0,0,0,1,0,0,10,0,0,1,4,5,0,0,0,0,0,2,0,0,0,0,1,0,4,7,2,2,1
4TH AV / CABRILLO ST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
OCEAN AV / ASHTON AV,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12,0,0,1,9,12,0,0,0,1,0,0,0,0,0,0,2,0,0,2,1,0,2
FELTON ST / SAN BRUNO AV,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,3,12,0,0,0,6,0,0,0,0,0,0,1,0,0,2,5,0,0
100 Block of WESTGATE DR,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0
DUBOCE AV / VALENCIA ST,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,1,8,0,0,0,2,11,0,0,0,5,0,1,0,0,0,0,1,0,0,7,7,0,0
1500 Block of 32ND AV,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,6,0,0,0,0,0,3,0,0,0,0,1,0,0,2,3,0,0
VANDYKE AV / INGALLS ST,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0
FILLMORE ST / MCALLISTER ST,0,12,0,0,0,0,0,8,1,0,0,0,0,2,0,0,18,0,0,1,10,31,0,0,0,9,1,3,0,0,2,0,5,0,0,3,4,11,0
MAIN ST / BRYANT ST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0
1500 Block of 27TH AV,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
CALIFORNIA ST / FRANKLIN ST,0,2,0,0,0,2,1,3,0,0,0,0,0,1,0,0,19,0,0,1,3,8,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4,2,0
100 Block of QUINCY ST,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0 Block of CALIFORNIA ST,0,11,3,0,15,2,0,2,0,3,0,0,6,13,0,0,41,0,0,3,26,15,0,0,0,6,0,1,2,0,1,0,14,0,4,9,2,3,0
1400 Block of SUTTER ST,0,14,1,0,18,0,0,1,0,1,0,0,6,9,0,1,37,0,0,2,21,21,0,0,0,1,0,0,0,0,1,0,6,0,1,4,4,4,1
200 Block of OFARRELL ST,0,33,0,0,26,0,0,7,4,0,0,0,3,11,0,2,77,0,0,5,49,20,0,0,0,12,0,4,2,0,1,1,14,0,2,13,1,12,1
700 Block of EDDY ST,1,23,0,0,10,0,0,13,2,0,0,0,0,6,0,1,38,0,0,16,41,17,0,5,0,2,0,4,1,0,3,0,4,0,1,6,4,7,1
1600 Block of 45TH AV,0,4,0,0,2,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,4,12,0,0,0,1,0,0,0,0,1,0,4,0,1,3,1,4,1
900 Block of BRANNAN ST,0,8,1,0,8,10,0,0,0,0,0,0,1,4,0,0,30,0,0,1,4,33,0,0,0,0,0,1,0,0,2,0,0,0,9,5,5,6,0
2800 Block of LEAVENWORTH ST,1,33,0,0,19,0,0,3,2,1,0,0,1,11,0,1,68,1,0,0,22,9,0,0,0,3,0,1,1,0,0,0,8,0,11,26,1,6,3
300 Block of MONTEREY BL,0,4,0,1,7,0,0,1,0,0,0,1,2,0,0,0,17,0,0,1,6,6,0,0,0,0,0,2,0,0,1,0,4,0,0,5,10,1,0
600 Block of LARCH ST,1,58,0,1,30,0,0,13,0,0,0,0,0,1,0,1,18,1,1,7,17,46,0,0,2,9,0,13,3,0,3,0,23,0,8,22,7,17,12
2900 Block of HARRISON ST,0,12,0,0,3,0,0,6,1,0,0,0,3,3,0,0,8,1,0,3,4,10,0,0,1,2,0,1,0,0,1,0,6,0,0,6,12,3,2
100 Block of EUCLID AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0
100 Block of DELVALE AV,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0
BEACH ST / TAYLOR ST,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,5,7,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1,1,0
COLUMBUS AV / STOCKTON ST,0,10,0,0,0,0,1,0,0,0,0,0,0,7,0,0,19,1,0,1,11,21,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,2,0
FOLSOM ST / 6TH ST,0,4,0,0,0,0,2,4,0,0,0,0,1,2,0,0,20,0,0,0,19,40,0,0,0,3,0,0,0,0,0,0,2,0,0,5,11,1,2
SUTTER ST / STOCKTON ST,0,8,0,0,0,1,0,1,2,0,0,0,1,6,0,0,157,0,0,0,21,19,0,0,0,4,0,0,0,0,2,0,6,0,0,10,28,2,1
300 Block of FONT BL,0,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,11,0,0,1,1,3,0,0,0,3,0,0,1,0,0,0,1,0,0,2,4,0,0
3500 Block of 16TH ST,0,1,0,0,4,0,0,2,0,0,0,0,1,0,0,0,14,0,0,0,8,6,0,0,0,1,0,0,0,0,0,0,1,0,1,6,4,3,0
100 Block of COLBY ST,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0
